,Antelope Valley Ranch (AVR),Rivendell,waterYear,Rivendell_WY_Rain_mm,AVR_WY_Rain_mm,date
2015-01-01,0.0,0.0,2015,0.0,0.0,2015-01-01
2015-01-02,0.0,0.0,2015,0.0,0.0,2015-01-02
2015-01-03,0.0,0.0,2015,0.0,0.0,2015-01-03
2015-01-04,0.0,0.0,2015,0.0,0.0,2015-01-04
2015-01-05,0.0,0.0,2015,0.0,0.0,2015-01-05
2015-01-06,0.0,0.0,2015,0.0,0.0,2015-01-06
2015-01-07,0.0,0.0,2015,0.0,0.0,2015-01-07
2015-01-08,0.0,0.0,2015,0.0,0.0,2015-01-08
2015-01-09,0.0,0.0,2015,0.0,0.0,2015-01-09
2015-01-10,0.0,0.0,2015,0.0,0.0,2015-01-10
2015-01-11,0.0,0.0,2015,0.0,0.0,2015-01-11
2015-01-12,0.0,0.0,2015,0.0,0.0,2015-01-12
2015-01-13,0.0,0.0,2015,0.0,0.0,2015-01-13
2015-01-14,0.0,0.0,2015,0.0,0.0,2015-01-14
2015-01-15,0.0,0.0,2015,0.0,0.0,2015-01-15
2015-01-16,1.0460000038146973,32.790000915527344,2015,32.790000915527344,1.0460000038146973,2015-01-16
2015-01-17,1.6959999799728394,5.47599983215332,2015,38.266000747680664,2.7419999837875366,2015-01-17
2015-01-18,0.0,29.468000411987305,2015,67.73400115966797,2.7419999837875366,2015-01-18
2015-01-19,0.0,2.259999990463257,2015,69.99400115013123,2.7419999837875366,2015-01-19
2015-01-20,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-20
2015-01-21,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-21
2015-01-22,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-22
2015-01-23,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-23
2015-01-24,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-24
2015-01-25,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-25
2015-01-26,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-26
2015-01-27,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-27
2015-01-28,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-28
2015-01-29,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-29
2015-01-30,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-30
2015-01-31,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-01-31
2015-02-01,0.0,0.0,2015,69.99400115013123,2.7419999837875366,2015-02-01
2015-02-02,0.0,6.558000087738037,2015,76.55200123786926,2.7419999837875366,2015-02-02
2015-02-03,0.0,5.695000171661377,2015,82.24700140953064,2.7419999837875366,2015-02-03
2015-02-04,0.0,0.0,2015,82.24700140953064,2.7419999837875366,2015-02-04
2015-02-05,0.0,0.3619999885559082,2015,82.60900139808655,2.7419999837875366,2015-02-05
2015-02-06,2.9210000038146973,120.63700103759766,2015,203.2460024356842,5.662999987602234,2015-02-06
2015-02-07,48.02799987792969,138.8000030517578,2015,342.046005487442,53.69099986553192,2015-02-07
2015-02-08,0.7480000257492065,0.5870000123977661,2015,342.6330054998398,54.43899989128113,2015-02-08
2015-02-09,22.23699951171875,81.85800170898438,2015,424.49100720882416,76.67599940299988,2015-02-09
2015-02-10,1.1339999437332153,5.308000087738037,2015,429.7990072965622,77.8099993467331,2015-02-10
2015-02-11,0.0,0.0,2015,429.7990072965622,77.8099993467331,2015-02-11
2015-02-12,0.0,0.0,2015,429.7990072965622,77.8099993467331,2015-02-12
2015-02-13,0.0,0.0,2015,429.7990072965622,77.8099993467331,2015-02-13
2015-02-14,0.0,0.0,2015,429.7990072965622,77.8099993467331,2015-02-14
2015-02-15,0.0,0.0,2015,429.7990072965622,77.8099993467331,2015-02-15
